City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,cabo san lucas,22.8909,-109.9124,32.17,53,20,5.66,MX,2024-08-27 19:40:02
137,phnom penh,11.5625,104.916,26.95,100,40,1.03,KH,2024-08-27 19:41:19
138,badger,64.8,-147.5333,16.66,56,75,4.63,US,2024-08-27 19:44:58
139,kenai,60.5544,-151.2583,14.03,67,100,2.57,US,2024-08-27 19:44:59
140,imzouren,35.1463,-3.8497,26.6,89,39,3.09,MA,2024-08-27 19:45:00
141,chimoio,-19.1164,33.4833,23.92,60,0,0.66,MZ,2024-08-27 19:45:02
142,mulayjah,27.271,48.4242,38.59,13,0,3.97,SA,2024-08-27 19:45:03
143,sao felix do xingu,-6.6447,-51.995,38.47,16,39,3.05,BR,2024-08-27 19:45:04
144,yayva,59.3303,57.2641,14.86,93,72,1.88,RU,2024-08-27 19:45:05
145,chui,-33.6971,-53.4616,12.87,74,54,2.95,UY,2024-08-27 19:45:06
146,laguna,38.421,-121.4238,33.95,31,0,3.6,US,2024-08-27 19:41:58
147,jamestown,42.097,-79.2353,31.12,50,0,5.66,US,2024-08-27 19:36:10
148,menaka,15.9182,2.4022,34.59,39,68,6.39,ML,2024-08-27 19:45:10
149,dhidhdhoo,6.8833,73.1,27.79,76,62,2.69,MV,2024-08-27 19:45:11
150,alo,6.5486,4.2686,24.36,92,28,3.41,NG,2024-08-27 19:45:13
151,edmundston,47.3737,-68.3251,29.3,53,40,5.14,CA,2024-08-27 19:45:14
152,andujar,38.0392,-4.0508,32.11,30,1,2.02,ES,2024-08-27 19:45:15
153,ambon,-3.6954,128.1814,25.49,95,40,1.54,ID,2024-08-27 19:45:16
154,vanino,49.0869,140.2543,13.67,95,5,1.2,RU,2024-08-27 19:45:17
155,sidney,-33.8679,151.2073,19.28,43,100,5.66,AU,2024-08-27 19:40:52
156,coahuayana de hidalgo,18.7,-103.6583,31.65,61,89,2.87,MX,2024-08-27 19:45:20
157,mount isa,-20.7333,139.5,11.87,66,0,0.0,AU,2024-08-27 19:45:21
158,concepcion chiquirichapa,14.85,-91.6167,17.75,94,100,0.57,GT,2024-08-27 19:45:22
159,keta,5.9179,0.9879,24.31,90,67,5.83,GH,2024-08-27 19:45:23
160,choix,26.7092,-108.3219,35.45,41,99,2.06,MX,2024-08-27 19:45:25
161,ouadda,8.0777,22.4007,21.11,92,100,1.19,CF,2024-08-27 19:45:26
162,bikenibeu village,1.3673,173.1241,27.98,83,40,3.6,KI,2024-08-27 19:45:27
163,severo-yeniseyskiy,60.3725,93.0408,10.95,100,99,1.06,RU,2024-08-27 19:45:28
164,papao,-17.75,-149.55,24.82,74,100,7.4,PF,2024-08-27 19:44:28
165,varadero,23.1536,-81.2514,30.42,73,98,4.58,CU,2024-08-27 19:45:31
166,ancud,-41.8697,-73.8203,8.82,67,100,1.82,CL,2024-08-27 19:34:27
167,siracusa,37.0881,15.2792,26.32,51,95,2.77,IT,2024-08-27 19:45:33
168,san mariano,7.5,126.0,22.52,94,66,1.52,PH,2024-08-27 19:45:34
169,nar'yan-mar,67.6713,53.087,14.64,66,94,6.33,RU,2024-08-27 19:45:35
170,tervel,43.75,27.4,20.42,64,89,3.24,BG,2024-08-27 19:45:37
171,san patricio,28.017,-97.5169,33.97,45,100,3.42,US,2024-08-27 19:45:38
172,baise city,23.8997,106.6133,27.97,99,2,1.05,CN,2024-08-27 19:45:39
173,tazacorte,28.629,-17.9293,23.42,89,75,5.66,ES,2024-08-27 19:45:40
174,shingu,33.7333,135.9833,24.72,93,69,1.49,JP,2024-08-27 19:45:42
175,darwin,-12.4611,130.8418,22.99,88,48,0.51,AU,2024-08-27 19:45:02
176,kupang,-10.1667,123.5833,25.32,88,11,2.57,ID,2024-08-27 19:45:44
177,dunbar,38.3606,-81.7374,36.61,36,20,1.54,US,2024-08-27 19:45:45
178,coquimbo,-29.9533,-71.3436,13.88,71,75,3.6,CL,2024-08-27 19:41:55
179,khandyga,62.6667,135.6,5.65,70,97,1.61,RU,2024-08-27 19:45:48
180,princeville,45.7668,-61.2985,24.83,63,75,5.14,CA,2024-08-27 19:45:49
181,sao jose da coroa grande,-8.8978,-35.1478,24.43,79,63,6.26,BR,2024-08-27 19:45:50
182,klaksvik,62.2266,-6.589,11.83,89,100,14.78,FO,2024-08-27 19:45:51
183,anastacio,-20.4836,-55.8069,30.83,20,1,1.51,BR,2024-08-27 19:45:52
184,tarauaca,-8.1614,-70.7656,35.47,24,0,0.31,BR,2024-08-27 19:45:54
185,hilo,19.7297,-155.09,27.84,74,20,2.24,US,2024-08-27 19:44:42
186,mirny,62.5353,113.9611,8.22,96,100,4.5,RU,2024-08-27 19:45:56
187,pyu,18.4833,96.4333,24.06,97,100,1.54,MM,2024-08-27 19:45:57
188,brisas de zicatela,15.8369,-97.0419,30.29,94,40,3.6,MX,2024-08-27 19:45:58
189,namibe,-15.1961,12.1522,18.03,82,82,1.41,AO,2024-08-27 19:46:00
190,turpan,42.9333,89.1667,33.56,23,48,1.96,CN,2024-08-27 19:46:01
191,camana,-16.6228,-72.7111,17.66,71,51,3.84,PE,2024-08-27 19:46:02
192,tofol,5.3248,163.0078,26.52,86,100,6.37,FM,2024-08-27 19:46:03
193,bodaybo,57.8506,114.1933,12.33,91,100,2.04,RU,2024-08-27 19:43:48
194,kununurra,-15.7667,128.7333,27.99,32,96,3.6,AU,2024-08-27 19:46:06
195,beau vallon,-20.4189,57.6953,21.13,64,75,6.69,MU,2024-08-27 19:46:07
196,queenstown,-31.8976,26.8753,16.51,25,0,12.74,ZA,2024-08-27 19:45:55
197,yarmouth,41.7057,-70.2286,26.18,74,0,4.12,US,2024-08-27 19:46:09
198,mega,4.05,38.3,18.16,68,72,5.53,ET,2024-08-27 19:46:10
199,starobaltachevo,56.0013,55.9213,14.53,82,0,2.1,RU,2024-08-27 19:46:12
200,mount gambier,-37.8333,140.7667,10.15,66,85,7.45,AU,2024-08-27 19:43:51
201,santa elena,-2.2333,-80.85,20.75,83,100,2.57,EC,2024-08-27 19:46:14
202,harper,4.375,-7.7169,24.1,88,100,5.59,LR,2024-08-27 19:46:15
203,tostado,-29.232,-61.7692,21.66,28,2,4.4,AR,2024-08-27 19:46:16
204,atafu village,-8.5421,-172.5159,27.64,75,52,4.56,TK,2024-08-27 19:46:18
205,ulladulla,-35.35,150.4667,19.14,38,99,3.06,AU,2024-08-27 19:46:19
206,saint-philippe,-21.3585,55.7679,20.38,80,66,8.2,RE,2024-08-27 19:43:24
207,dalby,-27.1833,151.2667,15.0,74,0,4.3,AU,2024-08-27 19:46:21
208,kirakira,-10.4544,161.9205,25.54,85,100,5.84,SB,2024-08-27 19:46:23
209,mejit,10.2753,170.8646,28.64,78,98,6.86,MH,2024-08-27 19:44:37
210,sisimiut,66.9395,-53.6735,7.54,78,98,3.07,GL,2024-08-27 19:46:25
211,mwene-ditu,-7.0,23.45,25.56,26,0,1.04,CD,2024-08-27 19:46:26
212,flin flon,54.7682,-101.865,19.91,49,40,6.17,CA,2024-08-27 19:44:08
213,twon-brass,4.3151,6.2418,25.68,88,79,6.01,NG,2024-08-27 19:46:29
214,dauphin,51.1494,-100.0502,20.08,56,0,3.6,CA,2024-08-27 19:46:30
215,lucea,18.451,-78.1736,30.92,80,98,2.1,JM,2024-08-27 19:46:31
216,gadzhiyevo,69.2551,33.3362,12.69,58,90,12.49,RU,2024-08-27 19:43:08
217,weno,7.4515,151.8468,25.97,94,75,0.0,FM,2024-08-27 19:46:33
218,yemetsk,63.4721,41.7941,15.04,70,100,3.22,RU,2024-08-27 19:46:35
219,vanimo,-2.6741,141.3028,25.14,91,100,1.8,PG,2024-08-27 19:46:36
220,chonchi,-42.6128,-73.8092,8.75,73,100,1.42,CL,2024-08-27 19:46:37
221,pyay,18.8167,95.2167,23.89,98,100,1.43,MM,2024-08-27 19:46:38
222,dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,26.58,35,0,3.66,MX,2024-08-27 19:42:47
223,yanam,16.7333,82.2167,26.22,85,100,1.63,IN,2024-08-27 19:46:41
224,east london,-33.0153,27.9116,17.45,70,0,7.56,ZA,2024-08-27 19:35:18
225,toliara,-23.35,43.6667,22.14,64,0,1.42,MG,2024-08-27 19:46:43
226,tarfaya,27.9358,-12.9218,20.91,90,4,6.23,MA,2024-08-27 19:46:44
227,coruripe,-10.1256,-36.1756,23.41,82,76,5.42,BR,2024-08-27 19:46:45
228,iskateley,67.6803,53.1512,14.68,66,93,6.27,RU,2024-08-27 19:46:46
229,narvik,68.4384,17.4272,12.43,96,100,5.92,NO,2024-08-27 19:45:19
230,ciudad melchor muzquiz,27.8833,-101.5167,33.6,37,25,3.85,MX,2024-08-27 19:45:20
231,nishinoomote,30.7333,131.0,27.64,88,100,18.2,JP,2024-08-27 19:46:50
232,swakopmund,-22.6833,14.5333,13.32,84,0,4.47,NA,2024-08-27 19:46:51
233,ivins,37.1686,-113.6794,33.42,15,0,1.34,US,2024-08-27 19:45:13
234,road town,18.4167,-64.6167,31.02,66,40,4.63,VG,2024-08-27 19:46:54
235,port lincoln,-34.7333,135.8667,12.98,62,0,9.89,AU,2024-08-27 19:44:48
236,sarangani,5.4033,125.4636,28.44,74,100,4.25,PH,2024-08-27 19:46:57
237,phan rang-thap cham,11.5667,108.9833,25.84,81,100,1.38,VN,2024-08-27 19:46:58
238,brech,47.7213,-2.9986,19.83,73,18,2.85,FR,2024-08-27 19:44:15
239,juwana,-6.715,111.1514,22.62,79,97,2.64,ID,2024-08-27 19:47:00
240,sao miguel do araguaia,-13.275,-50.1628,37.11,15,0,2.31,BR,2024-08-27 19:47:01
241,baykalovo,57.3981,63.7684,13.98,86,12,2.72,RU,2024-08-27 19:47:02
242,lospalos,-8.5186,127.0025,21.64,85,97,3.99,TL,2024-08-27 19:47:04
243,cockburn town,21.4612,-71.1419,28.75,75,12,5.91,TC,2024-08-27 19:47:05
244,ta`u,-14.2336,-169.5144,25.6,81,49,3.73,AS,2024-08-27 19:39:26
245,mount pearl,47.5166,-52.7813,20.25,71,100,1.79,CA,2024-08-27 19:45:30
246,selfoss,63.9331,-20.9971,12.8,78,100,3.7,IS,2024-08-27 19:46:16
247,guarapari,-20.6667,-40.4975,19.68,63,54,4.41,BR,2024-08-27 19:47:10
248,chingirlau,51.095,54.0814,17.82,55,0,3.26,KZ,2024-08-27 19:47:11
249,robore,-18.3333,-59.75,28.05,36,0,0.0,BO,2024-08-27 19:47:12
250,greenville,35.6127,-77.3663,33.01,50,0,2.57,US,2024-08-27 19:39:33
251,malax,62.9423,21.5731,12.77,87,0,2.06,FI,2024-08-27 19:47:14
252,zambezi,-13.5432,23.1047,19.09,20,5,2.08,ZM,2024-08-27 19:47:16
253,vila franca do campo,37.7167,-25.4333,24.23,71,73,2.82,PT,2024-08-27 19:47:17
254,taksimo,56.3444,114.8794,11.38,84,45,1.3,RU,2024-08-27 19:47:18
255,fada,7.25,4.0667,22.73,98,81,1.71,NG,2024-08-27 19:47:19
256,dryden,49.7833,-92.7503,17.16,63,100,4.63,CA,2024-08-27 19:45:27
257,fort bragg,35.139,-79.006,34.9,41,0,2.06,US,2024-08-27 19:39:10
258,creston,41.0586,-94.3614,32.98,49,20,5.14,US,2024-08-27 19:47:23
259,kyshtovka,56.555,76.6271,12.02,88,100,1.56,RU,2024-08-27 19:47:24
260,port shepstone,-30.7414,30.455,23.39,34,0,2.89,ZA,2024-08-27 19:47:25
261,urumqi,43.801,87.6005,18.53,83,0,3.0,CN,2024-08-27 19:47:26
262,teknaf,20.8624,92.3058,25.76,92,99,3.59,BD,2024-08-27 19:47:28
